,id,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
19,19,25,Non-Travel,1092,Research & Development,1,1,Medical,1,4,Female,96,3,2,Manufacturing Director,4,Married,4374,17000,1,Y,Yes,17,3,1,80,0,5,3,4,5,3,1,4,0
20,20,30,Travel_Rarely,1392,Research & Development,7,4,Life Sciences,1,2,Male,77,4,1,Research Scientist,2,Divorced,2413,26314,1,Y,Yes,18,3,3,80,1,10,3,2,10,7,0,1,0
21,21,50,Travel_Rarely,1082,Research & Development,2,5,Medical,1,3,Male,60,4,1,Laboratory Technician,1,Divorced,2436,17198,7,Y,No,19,3,3,80,1,8,3,3,5,4,0,3,0
22,22,51,Travel_Rarely,1107,Human Resources,2,3,Human Resources,1,1,Male,59,3,5,Manager,3,Married,19943,19982,3,Y,Yes,12,3,4,80,0,33,2,3,31,9,6,13,0
23,23,43,Travel_Rarely,530,Research & Development,2,3,Life Sciences,1,4,Female,51,3,1,Research Scientist,3,Single,3312,22474,3,Y,No,13,3,4,80,0,18,3,3,2,2,2,2,0
24,24,29,Travel_Frequently,746,Sales,18,3,Life Sciences,1,2,Female,62,4,2,Sales Executive,2,Single,4373,11512,1,Y,Yes,17,3,4,80,0,5,2,2,5,3,1,2,1
25,25,29,Travel_Rarely,1005,Research & Development,3,1,Life Sciences,1,2,Female,86,2,2,Manufacturing Director,2,Single,4834,9129,5,Y,No,24,4,3,80,0,10,1,2,1,0,0,0,0
26,26,35,Travel_Frequently,796,Sales,10,4,Marketing,1,2,Male,37,2,1,Sales Representative,3,Married,16015,24619,1,Y,Yes,14,3,4,80,1,2,2,3,2,2,2,2,0
27,27,29,Travel_Rarely,228,Sales,7,1,Life Sciences,1,1,Female,76,3,2,Sales Executive,4,Married,5296,25761,1,Y,No,13,3,4,80,1,10,3,3,10,0,0,0,0
28,28,26,Travel_Rarely,1358,Research & Development,18,1,Medical,1,3,Female,82,3,1,Research Scientist,3,Married,2389,14229,3,Y,No,11,3,2,80,1,8,2,3,2,1,2,2,0
29,29,24,Travel_Rarely,959,Sales,10,3,Life Sciences,1,4,Male,62,3,1,Sales Representative,4,Married,9396,7246,1,Y,No,12,3,1,80,1,1,3,3,1,0,0,0,0
30,30,41,Travel_Rarely,1276,Research & Development,10,4,Medical,1,2,Male,95,3,2,Healthcare Representative,3,Married,6142,5174,2,Y,Yes,12,3,1,80,1,12,4,3,5,4,0,2,0
31,31,34,Travel_Frequently,1349,Research & Development,6,3,Medical,1,3,Male,75,3,2,Laboratory Technician,2,Married,4490,3449,0,Y,Yes,18,3,2,80,1,10,2,3,9,8,3,7,0
32,32,35,Travel_Rarely,154,Sales,10,4,Marketing,1,1,Male,54,3,2,Sales Executive,4,Single,5228,23848,0,Y,No,15,3,3,80,0,10,5,3,9,7,1,7,0
33,33,47,Travel_Frequently,1277,Research & Development,1,4,Life Sciences,1,3,Male,82,1,2,Manufacturing Director,2,Married,5562,25440,9,Y,No,11,3,4,80,1,15,5,3,13,11,2,12,0
34,34,31,Travel_Rarely,979,Human Resources,28,4,Life Sciences,1,1,Male,95,2,2,Human Resources,3,Divorced,5745,12368,1,Y,No,13,3,4,80,2,10,3,4,10,7,3,8,0
35,35,56,Travel_Rarely,300,Research & Development,3,4,Life Sciences,1,3,Male,73,2,1,Laboratory Technician,2,Married,3780,4257,3,Y,Yes,12,3,3,80,2,5,3,3,0,0,0,0,0
36,36,38,Non-Travel,555,Sales,7,3,Life Sciences,1,3,Male,48,3,3,Sales Executive,2,Married,9985,9262,0,Y,No,13,3,2,80,1,10,2,3,9,2,6,8,0
37,37,38,Travel_Rarely,874,Research & Development,2,3,Other,1,3,Male,52,2,1,Laboratory Technician,4,Married,3780,5598,1,Y,No,11,3,3,80,1,11,2,2,5,2,2,3,0
38,38,33,Travel_Rarely,1443,Research & Development,1,3,Medical,1,3,Female,71,2,2,Manufacturing Director,2,Married,6949,16530,1,Y,No,14,3,2,80,0,13,2,3,13,8,6,9,0
39,39,42,Travel_Frequently,933,Research & Development,1,4,Life Sciences,1,2,Male,71,4,5,Manager,4,Married,19033,8059,9,Y,No,14,3,1,80,1,24,1,3,20,6,0,13,0
40,40,27,Travel_Rarely,833,Research & Development,8,3,Medical,1,4,Female,78,2,1,Laboratory Technician,3,Married,2398,17231,1,Y,Yes,22,4,3,80,1,1,3,2,1,0,0,0,1
41,41,52,Travel_Rarely,1107,Sales,8,4,Life Sciences,1,4,Female,48,3,4,Sales Executive,2,Married,12965,17491,2,Y,No,13,3,3,80,1,24,2,3,8,5,7,7,0
42,42,36,Travel_Rarely,1001,Research & Development,8,4,Other,1,3,Female,79,3,2,Laboratory Technician,4,Divorced,2018,25174,7,Y,No,11,3,3,80,2,15,4,3,1,0,0,0,0
43,43,31,Travel_Rarely,469,Sales,1,3,Marketing,1,1,Male,56,1,1,Sales Representative,3,Married,2853,22245,4,Y,Yes,22,4,1,80,1,4,2,3,0,0,0,0,1
44,44,44,Travel_Rarely,796,Research & Development,10,4,Medical,1,2,Female,70,3,1,Laboratory Technician,2,Married,2795,11162,1,Y,No,14,3,2,80,0,16,4,3,16,9,13,8,0
45,45,28,Travel_Frequently,1217,Research & Development,17,1,Life Sciences,1,2,Male,72,3,2,Manufacturing Director,3,Married,5744,22490,3,Y,Yes,12,3,3,80,1,6,1,3,3,2,1,2,0
46,46,46,Travel_Rarely,301,Research & Development,14,3,Life Sciences,1,3,Female,100,3,3,Manufacturing Director,1,Divorced,10932,17491,7,Y,No,14,3,2,80,1,16,5,2,4,3,0,3,0
47,47,29,Travel_Rarely,119,Research & Development,17,3,Other,1,2,Male,93,3,3,Research Director,4,Divorced,12169,8770,1,Y,Yes,18,3,4,80,3,10,2,2,10,9,2,9,1
48,48,18,Travel_Rarely,1469,Research & Development,3,3,Life Sciences,1,1,Female,90,1,1,Laboratory Technician,4,Single,1611,9148,1,Y,No,19,3,2,80,0,0,2,3,0,0,0,0,1
49,49,27,Non-Travel,994,Sales,1,3,Medical,1,4,Female,86,3,2,Sales Executive,1,Single,9714,7259,0,Y,Yes,12,3,3,80,0,6,2,3,5,3,4,3,0
50,50,41,Travel_Rarely,932,Research & Development,7,4,Medical,1,1,Male,54,2,1,Laboratory Technician,4,Married,2836,8891,1,Y,No,15,3,4,80,1,10,6,3,10,8,3,7,0
51,51,36,Travel_Rarely,809,Research & Development,25,3,Life Sciences,1,4,Female,96,3,2,Research Scientist,3,Married,4787,9192,5,Y,No,18,3,4,80,1,10,3,3,3,2,0,2,0
52,52,45,Travel_Rarely,1179,Sales,9,2,Life Sciences,1,4,Female,64,3,3,Sales Executive,1,Divorced,8321,16090,3,Y,Yes,14,3,4,80,1,9,3,3,6,5,1,3,0
53,53,33,Travel_Rarely,1434,Sales,2,3,Marketing,1,1,Male,97,3,1,Sales Representative,1,Divorced,3057,20763,3,Y,No,12,3,2,80,2,4,2,3,0,0,0,0,0
54,54,34,Travel_Rarely,869,Research & Development,1,4,Medical,1,2,Male,40,3,1,Research Scientist,4,Single,2132,19944,3,Y,No,12,3,2,80,0,9,2,3,1,0,0,0,0
55,55,34,Travel_Rarely,1198,Research & Development,2,3,Life Sciences,1,3,Male,96,2,1,Research Scientist,3,Single,2468,13137,9,Y,Yes,18,3,3,80,0,6,4,3,2,2,2,2,0
56,56,37,Travel_Rarely,1427,Research & Development,1,4,Life Sciences,1,2,Male,48,3,1,Laboratory Technician,4,Married,3441,21643,9,Y,No,15,3,3,80,0,9,2,2,3,2,1,2,0
57,57,44,Travel_Rarely,1383,Research & Development,1,4,Other,1,3,Female,54,3,1,Laboratory Technician,4,Divorced,4724,11103,1,Y,No,14,3,1,80,1,10,2,3,10,9,0,8,0
58,58,28,Travel_Frequently,528,Research & Development,4,3,Medical,1,1,Female,84,3,1,Research Scientist,1,Divorced,2683,2851,1,Y,No,14,3,1,80,1,6,5,1,6,5,1,2,0
59,59,29,Travel_Frequently,1082,Sales,7,3,Marketing,1,3,Male,46,3,1,Sales Representative,3,Single,2379,20308,5,Y,No,11,3,2,80,0,6,3,4,2,2,2,2,1
60,60,38,Travel_Rarely,548,Research & Development,4,4,Life Sciences,1,3,Male,75,3,1,Research Scientist,3,Married,2544,23398,4,Y,Yes,16,3,4,80,1,12,2,3,8,7,1,5,0
61,61,27,Travel_Rarely,1097,Research & Development,16,4,Life Sciences,1,4,Male,82,3,1,Research Scientist,4,Married,2362,8828,1,Y,No,14,3,2,80,1,6,1,2,6,4,1,3,0
62,62,39,Travel_Rarely,1413,Sales,3,3,Life Sciences,1,4,Male,78,3,4,Sales Executive,3,Married,13194,15276,3,Y,No,17,3,1,80,2,18,4,3,0,0,0,0,0
63,63,38,Travel_Rarely,322,Sales,6,2,Medical,1,4,Female,38,3,2,Sales Executive,3,Married,5605,16495,4,Y,No,14,3,3,80,1,13,3,3,11,8,5,8,0
64,64,50,Travel_Rarely,319,Research & Development,15,2,Life Sciences,1,4,Male,46,3,5,Research Director,3,Married,19161,14977,5,Y,Yes,11,3,3,80,1,23,3,3,4,1,0,3,0
65,65,29,Travel_Rarely,1401,Research & Development,3,4,Life Sciences,1,3,Male,52,3,2,Research Scientist,2,Married,4787,16225,1,Y,No,19,3,1,80,2,10,3,3,10,8,0,9,0
66,66,29,Travel_Rarely,477,Research & Development,24,2,Life Sciences,1,1,Female,33,2,1,Research Scientist,1,Divorced,2496,9679,1,Y,No,14,3,1,80,1,1,2,3,1,0,0,0,1
67,67,43,Travel_Rarely,999,Research & Development,10,3,Medical,1,3,Female,96,3,5,Manager,2,Single,19436,15896,3,Y,No,11,3,4,80,0,21,6,3,20,18,3,9,0
68,68,33,Travel_Rarely,1223,Sales,2,4,Marketing,1,3,Female,72,3,2,Sales Executive,1,Divorced,5507,5518,0,Y,No,14,3,1,80,1,6,2,3,5,3,1,3,0
69,69,38,Travel_Rarely,769,Research & Development,23,3,Life Sciences,1,4,Male,95,4,2,Healthcare Representative,3,Married,4422,5456,1,Y,No,17,3,3,80,2,13,4,3,11,10,1,8,0
70,70,49,Travel_Frequently,1339,Research & Development,18,3,Life Sciences,1,3,Female,53,3,3,Research Director,4,Divorced,10725,12477,0,Y,Yes,11,3,4,80,3,20,2,3,19,10,1,7,0
71,71,26,Travel_Rarely,523,Research & Development,10,3,Other,1,1,Female,58,3,2,Manufacturing Director,3,Single,6162,16495,1,Y,No,18,3,2,80,0,8,3,3,8,7,1,6,0
72,72,26,Travel_Frequently,1277,Research & Development,2,2,Medical,1,3,Male,80,2,1,Laboratory Technician,3,Single,3875,25265,0,Y,No,15,3,1,80,0,6,5,3,5,2,1,2,0
73,73,33,Travel_Rarely,1003,Research & Development,15,2,Life Sciences,1,1,Female,98,3,2,Healthcare Representative,3,Single,4448,10842,1,Y,No,12,3,3,80,0,7,3,3,5,4,1,3,0
74,74,53,Travel_Rarely,1018,Research & Development,3,3,Medical,1,4,Female,95,4,4,Manager,4,Single,17099,7790,2,Y,No,17,3,3,80,0,26,3,3,5,4,1,2,0
75,75,41,Travel_Rarely,672,Research & Development,10,4,Medical,1,2,Male,73,3,5,Research Scientist,3,Married,19626,17312,1,Y,Yes,12,3,1,80,1,21,1,3,20,18,11,10,0
76,76,54,Travel_Rarely,933,Research & Development,4,2,Medical,1,3,Male,87,3,5,Research Director,4,Single,19513,11806,7,Y,Yes,17,3,4,80,0,32,2,3,5,4,1,4,0
77,77,34,Travel_Rarely,1099,Sales,10,4,Life Sciences,1,1,Male,64,3,2,Sales Executive,4,Single,5346,11873,1,Y,No,14,3,2,80,0,9,3,3,9,0,7,7,0
78,78,34,Travel_Rarely,1082,Sales,6,4,Life Sciences,1,3,Male,82,3,3,Sales Executive,4,Single,7637,2373,9,Y,No,11,3,3,80,0,10,2,3,3,2,2,2,0
79,79,35,Travel_Frequently,1396,Research & Development,11,1,Life Sciences,1,1,Female,37,1,4,Manager,4,Married,13348,19757,1,Y,Yes,14,3,3,80,0,33,3,3,33,10,13,8,1
80,80,43,Non-Travel,465,Research & Development,2,2,Medical,1,4,Male,65,2,2,Manufacturing Director,3,Divorced,6220,14074,1,Y,No,12,3,3,80,2,10,0,2,10,8,1,9,0
81,81,28,Travel_Rarely,1333,Research & Development,24,3,Other,1,2,Male,59,2,1,Research Scientist,3,Divorced,2564,9100,1,Y,Yes,23,4,4,80,1,1,2,3,1,1,0,0,1
82,82,35,Travel_Rarely,604,Research & Development,7,4,Life Sciences,1,2,Male,96,3,2,Healthcare Representative,3,Single,5309,6161,1,Y,Yes,16,3,3,80,0,17,3,3,15,12,6,10,0
83,83,33,Travel_Rarely,1206,Research & Development,10,1,Life Sciences,1,2,Male,89,3,1,Laboratory Technician,3,Single,2559,16374,1,Y,No,19,3,1,80,0,1,5,2,1,0,0,0,0
84,84,26,Travel_Rarely,640,Research & Development,9,1,Life Sciences,1,1,Female,73,3,1,Laboratory Technician,1,Divorced,3989,20364,1,Y,Yes,19,3,1,80,1,8,2,3,8,7,0,5,0
85,85,30,Travel_Rarely,1313,Research & Development,9,2,Life Sciences,1,4,Female,92,3,1,Research Scientist,4,Divorced,2585,7160,1,Y,No,15,3,3,80,2,1,3,3,1,0,0,0,0
86,86,46,Travel_Rarely,1275,Sales,15,3,Marketing,1,3,Male,48,3,2,Sales Executive,3,Single,6384,21143,8,Y,No,14,3,4,80,0,9,3,3,3,2,0,2,0
87,87,43,Travel_Rarely,653,Research & Development,18,3,Life Sciences,1,3,Female,86,3,2,Laboratory Technician,3,Married,5253,4605,8,Y,Yes,14,3,1,80,1,10,3,3,8,1,7,7,0
88,88,49,Travel_Rarely,1219,Research & Development,1,3,Life Sciences,1,2,Male,96,3,2,Manufacturing Director,3,Divorced,4171,4223,2,Y,No,15,3,3,80,1,19,3,3,3,2,1,2,0
89,89,24,Travel_Rarely,1336,Research & Development,23,1,Life Sciences,1,3,Male,50,3,1,Research Scientist,4,Single,2693,8269,9,Y,Yes,12,3,2,80,0,6,0,1,5,2,1,4,1
90,90,27,Travel_Rarely,959,Sales,2,2,Life Sciences,1,4,Male,89,3,1,Sales Representative,3,Married,1232,26999,1,Y,No,19,3,3,80,0,0,3,2,0,0,0,0,1
91,91,29,Travel_Rarely,144,Research & Development,20,4,Life Sciences,1,3,Female,90,3,1,Research Scientist,3,Married,3944,12828,1,Y,No,11,3,4,80,1,5,2,2,5,3,0,2,0
92,92,47,Travel_Rarely,1137,Research & Development,8,4,Life Sciences,1,4,Male,60,3,5,Research Director,2,Divorced,19202,20431,2,Y,No,11,3,2,80,1,21,4,3,4,0,0,2,0
93,93,42,Travel_Rarely,1063,Research & Development,23,4,Life Sciences,1,4,Male,79,2,4,Manager,2,Divorced,16064,3140,2,Y,Yes,13,3,3,80,1,22,2,3,10,9,2,4,0
94,94,43,Travel_Rarely,1403,Research & Development,4,3,Life Sciences,1,4,Male,66,4,1,Laboratory Technician,2,Married,1569,16379,5,Y,No,14,3,1,80,1,7,4,3,1,0,0,0,0
95,95,27,Travel_Rarely,942,Research & Development,6,4,Medical,1,3,Male,82,2,1,Research Scientist,3,Divorced,2514,11012,1,Y,No,12,3,2,80,3,5,3,2,5,4,0,3,0
96,96,53,Travel_Rarely,723,Sales,24,3,Marketing,1,1,Female,66,2,4,Manager,4,Divorced,17856,20338,1,Y,No,11,3,1,80,1,31,3,3,31,9,15,7,0
97,97,46,Travel_Rarely,571,Research & Development,23,4,Medical,1,3,Male,48,3,2,Healthcare Representative,3,Married,6540,15232,2,Y,No,11,3,3,80,1,11,3,3,5,4,0,3,0
98,98,32,Travel_Rarely,442,Sales,17,3,Medical,1,4,Male,79,3,3,Sales Executive,3,Married,10673,26250,0,Y,No,22,4,2,80,0,14,3,3,13,8,8,9,0
99,99,36,Travel_Rarely,1495,Research & Development,1,3,Medical,1,4,Male,43,2,2,Manufacturing Director,2,Single,5163,23177,6,Y,Yes,16,3,4,80,0,17,2,2,5,4,0,4,0
100,100,26,Travel_Rarely,959,Human Resources,2,3,Life Sciences,1,2,Male,59,2,1,Human Resources,1,Single,2942,16225,1,Y,Yes,13,3,3,80,0,5,2,3,5,4,1,1,1
101,101,28,Travel_Rarely,1303,Research & Development,2,4,Medical,1,3,Male,30,4,2,Laboratory Technician,3,Divorced,4301,9150,1,Y,No,16,3,1,80,1,5,1,3,5,2,3,0,0
102,102,34,Travel_Rarely,1450,Research & Development,1,4,Technical Degree,1,4,Male,43,2,1,Research Scientist,4,Single,2132,22021,0,Y,No,15,3,4,80,0,6,2,3,5,3,1,3,0
103,103,23,Travel_Frequently,857,Research & Development,1,1,Life Sciences,1,1,Male,61,2,2,Manufacturing Director,4,Married,6146,26236,1,Y,No,12,3,4,80,2,8,2,2,8,7,3,7,0
104,104,31,Travel_Rarely,807,Sales,7,3,Marketing,1,1,Male,71,3,3,Sales Executive,3,Married,9278,2354,7,Y,No,23,4,2,80,1,10,3,3,2,2,2,2,1
105,105,47,Travel_Rarely,682,Research & Development,1,4,Life Sciences,1,3,Male,84,2,1,Research Scientist,3,Married,2782,5602,0,Y,Yes,14,3,1,80,1,6,3,2,5,3,1,2,0
106,106,33,Travel_Rarely,790,Research & Development,9,4,Life Sciences,1,4,Male,51,4,3,Manager,3,Married,2013,2125,1,Y,Yes,12,3,4,80,2,15,3,3,15,11,5,8,0
107,107,37,Travel_Rarely,1332,Research & Development,11,2,Other,1,1,Male,50,4,2,Manufacturing Director,2,Married,5906,9490,3,Y,Yes,11,3,4,80,2,6,2,3,3,2,0,0,1
108,108,31,Travel_Frequently,672,Research & Development,6,4,Medical,1,1,Male,86,1,1,Research Scientist,3,Married,2519,6161,0,Y,Yes,16,3,1,80,0,4,3,3,3,2,1,2,1
109,109,41,Travel_Rarely,1168,Sales,2,2,Life Sciences,1,4,Male,42,4,4,Manager,2,Divorced,16659,16225,4,Y,Yes,14,3,4,80,1,22,3,3,1,0,0,0,0
110,110,33,Travel_Rarely,1450,Sales,12,3,Life Sciences,1,1,Female,92,2,2,Sales Executive,1,Single,1569,25440,2,Y,Yes,22,4,1,80,0,16,2,1,0,0,0,0,1
111,111,37,Travel_Rarely,598,Research & Development,2,3,Medical,1,4,Male,40,3,1,Laboratory Technician,2,Married,3072,20460,5,Y,No,13,3,2,80,1,8,6,3,1,0,0,0,0
112,112,37,Travel_Rarely,1142,Research & Development,9,1,Other,1,4,Female,46,3,3,Manufacturing Director,4,Single,10502,4658,2,Y,No,12,3,1,80,0,15,2,3,7,1,0,7,0
113,113,29,Travel_Rarely,920,Sales,29,2,Life Sciences,1,4,Male,43,2,2,Sales Executive,2,Divorced,5813,22149,1,Y,Yes,24,4,1,80,1,10,5,3,10,8,1,8,0
114,114,48,Travel_Rarely,691,Research & Development,8,2,Medical,1,4,Female,40,3,2,Laboratory Technician,3,Single,3838,22021,4,Y,No,15,3,1,80,0,17,2,3,3,2,0,2,0
115,115,27,Travel_Rarely,882,Research & Development,17,3,Medical,1,2,Male,87,2,2,Healthcare Representative,2,Married,5228,5033,0,Y,No,14,3,4,80,1,14,0,3,13,9,4,9,0
116,116,25,Travel_Rarely,895,Research & Development,23,2,Life Sciences,1,2,Male,95,3,1,Laboratory Technician,1,Married,3491,12106,1,Y,No,13,3,4,80,1,3,2,3,3,2,1,1,0
117,117,45,Travel_Rarely,464,Research & Development,16,3,Medical,1,2,Male,50,3,4,Manager,3,Married,17046,12392,6,Y,No,16,3,4,80,0,22,2,3,1,0,0,0,0
118,118,59,Travel_Rarely,884,Research & Development,9,3,Life Sciences,1,3,Female,54,3,5,Research Director,3,Single,18041,17519,6,Y,No,11,3,3,80,0,27,2,3,3,2,1,2,0
119,119,33,Travel_Rarely,658,Research & Development,12,3,Life Sciences,1,3,Male,87,2,3,Healthcare Representative,4,Single,7412,23474,3,Y,No,11,3,3,80,0,15,0,3,12,11,4,8,0
120,120,34,Travel_Rarely,954,Sales,14,4,Marketing,1,1,Male,95,3,2,Sales Executive,4,Married,5324,14255,9,Y,No,12,3,3,80,0,6,3,3,2,2,2,2,0
121,121,22,Travel_Rarely,715,Research & Development,5,3,Medical,1,4,Male,95,2,1,Research Scientist,3,Married,2394,25751,1,Y,Yes,13,3,4,80,2,4,2,3,4,2,0,2,0
122,122,45,Travel_Rarely,853,Research & Development,6,2,Technical Degree,1,1,Female,91,3,3,Healthcare Representative,2,Married,10169,18611,0,Y,No,13,3,2,80,1,24,3,2,24,9,3,11,0
123,123,49,Travel_Rarely,1136,Research & Development,2,3,Life Sciences,1,3,Female,82,3,2,Research Scientist,4,Divorced,6434,11677,2,Y,No,14,3,3,80,1,17,3,3,7,7,1,7,0
124,124,34,Travel_Frequently,1283,Sales,7,3,Life Sciences,1,2,Male,44,4,2,Sales Executive,2,Divorced,6377,6865,2,Y,Yes,14,3,3,80,2,14,3,1,10,8,5,6,0
125,125,35,Travel_Rarely,1495,Sales,8,2,Technical Degree,1,4,Female,82,3,3,Sales Executive,4,Divorced,9713,22553,1,Y,No,11,3,3,80,2,10,6,3,10,9,9,8,0
126,126,27,Travel_Rarely,1448,Research & Development,1,4,Medical,1,4,Male,46,4,2,Healthcare Representative,3,Married,6883,19271,1,Y,Yes,14,3,2,80,1,7,0,3,7,7,1,7,0
127,127,41,Travel_Rarely,804,Sales,2,3,Medical,1,3,Female,74,3,2,Sales Executive,3,Single,8726,23474,4,Y,Yes,13,3,2,80,0,10,3,3,4,3,0,3,1
128,128,23,Travel_Rarely,546,Sales,4,1,Life Sciences,1,1,Male,100,3,1,Sales Representative,4,Single,2500,18767,3,Y,Yes,13,3,3,80,0,3,3,3,1,0,1,0,1
129,129,40,Non-Travel,775,Research & Development,6,4,Medical,1,2,Female,63,3,2,Healthcare Representative,1,Married,6755,23293,3,Y,No,15,3,4,80,1,12,5,2,5,4,1,2,0
130,130,46,Travel_Rarely,1319,Research & Development,1,3,Medical,1,1,Male,68,1,5,Research Director,1,Divorced,18711,13934,7,Y,No,11,3,2,80,3,27,2,1,24,7,13,13,0
131,131,32,Travel_Rarely,1146,Sales,26,4,Life Sciences,1,4,Male,32,3,3,Sales Executive,4,Married,8998,22162,1,Y,No,22,4,4,80,1,9,3,3,9,8,8,7,0
132,132,38,Travel_Rarely,359,Sales,8,4,Life Sciences,1,1,Male,82,3,1,Sales Representative,3,Divorced,2835,20990,6,Y,No,17,3,3,80,2,7,3,2,2,2,2,0,0
133,133,41,Travel_Rarely,1206,Sales,5,2,Life Sciences,1,2,Male,83,3,3,Manager,1,Single,11836,23683,6,Y,No,17,3,4,80,0,12,2,4,6,5,0,3,0
134,134,38,Travel_Rarely,383,Sales,29,4,Medical,1,3,Female,72,3,2,Sales Executive,3,Single,6652,14369,9,Y,Yes,12,3,1,80,0,8,4,3,5,3,0,4,0
135,135,45,Travel_Rarely,821,Research & Development,9,1,Medical,1,3,Female,64,2,1,Laboratory Technician,4,Single,2176,8509,9,Y,No,13,3,4,80,0,10,5,3,5,3,0,4,0
136,136,51,Travel_Rarely,1323,Research & Development,7,4,Life Sciences,1,2,Male,73,3,3,Research Director,3,Married,13582,17381,1,Y,No,20,4,2,80,1,16,2,1,16,13,2,11,0
